Data;Broker;Service_name;Service_class;Programa;Quantidade
2021-11-27;ETB160;DETRAN;SDGX;NSDGX047;6
2021-11-27;ETB160;DETRAN;SDGX;NSDAKG12;1
2021-11-27;ETB160;DETRAN;SDGX;NSDAKQ08;1
2021-11-27;ETB160;DETRAN;SDGX;NSDAKQ07;1
2021-11-27;ETB160;DETRAN;SDGX;NSDGX414;1
2021-11-27;ETB160;DETRAN;SDGX;NSDGX413;1
2021-11-27;ETB160;DETRAN;SDGX;NSDAKQ02;1
2021-11-27;ETB160;DETRAN;SDGX;NSDAKCD7;1
2021-11-27;ETB160;DETRAN;SDGX;NSDAKQ11;1
2021-11-27;ETB160;DETRAN;SDGX;NSDAKCD2;1
2021-11-27;ETB160;DETRAN;SDGX;NSDGX074;1
2021-11-27;ETB160;DETRAN;SDGX;NSDAKCD3;2
2021-11-27;ETB160;DETRAN;SDGX;NSDGX046;1
2021-11-27;ETB160;DETRAN;SDGX;NFBABE26;1
2021-11-27;ETB160;DETRAN;SDGX;NSDGX073;1
2021-11-27;ETB160;DETRAN;SDGX;NFBABE52;1
2021-11-27;ETB160;DETRAN;SDGX;NFBABL49;19
2021-11-27;ETB160;DETRAN;SDGX;NFBABL40;180
2021-11-27;ETB160;DETRAN;SDGX;NFBABE27;8
2021-11-27;ETB160;DETRAN;SDGX;NFBABE03;76
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSDGX411;1
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSDGX414;1
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSDAKBI4;1
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSS06EXE;1
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSDAKWCP;1
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSDAKWCI;3
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSS06WS5;80
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSDAT502;2
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSS06WS7;1
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSDGX496;7
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSDGX047;1
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSDGX046;1
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSDGX035;1
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSDGXPR1;4
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSS06WS4;56
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSS06WS3;9
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSS06WS2;41
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSS06WS1;60
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSDAF251;9
2021-11-27;ETB160;PORTALDETRAN;SDGX;NSDAF107;14
2021-11-27;ETB160;SESP;SSAF;NSSAFG89;1
2021-11-27;ETB160;SESP;SSAF;NSSAFW57;1
2021-11-27;ETB160;SESP;SSAF;NSSAFCDG;1
2021-11-27;ETB160;SESP;SSAF;NSSAFW49;1
2021-11-27;ETB160;SESP;SSAF;NSSAFW47;1
2021-11-27;ETB160;SESP;SSAF;NSSAFW46;1
2021-11-27;ETB160;SESP;SSAF;NSSAFX46;136
2021-11-27;ETB160;SESP;SSAF;NSSAFG55;1
2021-11-27;ETB160;SESP;SSAF;NSSAFD31;4
2021-11-27;ETB160;SESP;SSAF;NSSAFG88;1
2021-11-27;ETB160;SESP;SSAF;NSSAFL60;1
2021-11-27;ETB160;SESP;SSAF;NSSAFHCO;1
2021-11-27;ETB160;SESP;SSAF;NSSAFEXA;1
2021-11-27;ETB160;SESP;SSAF;NSSAFW50;7
2021-11-27;ETB160;SESP;SSAF;NSSAFW45;6
2021-11-27;ETB160;SESP;SSAF;NSSAFW44;7
2021-11-27;ETB160;SESP;SSAF;NSSAFW42;37
2021-11-27;ETB160;SESP;SSAF;NSSAFW30;37
2021-11-27;ETB160;SESP;SSAF;NSSAFL30;2
2021-11-27;ETB160;SESP;SSAF;NSSAFG91;37
2021-11-27;ETB160;SESP;SSAF;NSSAFG90;37
2021-11-27;ETB160;SESP;SSAF;NSSAFD30;6
2021-11-27;ETB160;SESP;SSAF;NJJABSID;37
2021-11-27;ETB160;SIDSB;SXA2;NSXA2013;1
2021-11-27;ETB160;SIDSB;SXA2;NSXA2006;5
2021-11-27;ETB160;SIDSB;SXA2;NSXA2002;4
2021-11-27;ETB160;SIDSB;SXA2;NSXA2A02;47
2021-11-27;ETB160;SIDSB;SXA2;NSSAFG69;37
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGX409;28
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGX408;130
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGX407;18
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGX403;2
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGXS2A;1
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGXS05;2
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGXS02;1
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGXS0C;1
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGXPI1;1
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGXCPO;9
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGXCNH;8
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGXCE5;1
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGX439;3
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGX471;1
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGX401;1
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGX441;2
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGX472;1
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGXS6A;1
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGXS06;1
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGX470;1
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGX426;1
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGXS7A;1
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGX486;1
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGXS8A;1
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGXCPI;1
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGX416;1
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGX419;2
2021-11-27;ETB170;PORTALDETRAN;SDGX;NSDGX493;1
