Data,Quantidade
2021-10-26,162.0
2021-10-27,66.0
2021-10-28,58.0
2021-10-29,44.0
2021-10-30,83.0
2021-10-31,84.5
2021-11-01,86.0
2021-11-02,87.0
2021-11-03,88.0
2021-11-04,63.0
2021-11-05,212.0
2021-11-06,64.0
2021-11-07,90.5
2021-11-08,117.0
2021-11-09,50.0
2021-11-10,115.0
2021-11-11,54.0
2021-11-12,92.0
2021-11-13,124.0
2021-11-14,103.3
2021-11-15,82.6
2021-11-16,62.0
2021-11-17,106.0
2021-11-18,33.0
2021-11-19,120.0
2021-11-20,107.0
2021-11-21,145.5
2021-11-22,184.0
2021-11-23,100.0
2021-11-24,50.0
2021-11-25,50.0
2021-11-26,82.0
2021-11-27,96.0
2021-11-28,83.0
2021-11-29,70.0
2021-11-30,98.0
2021-12-01,4.0
2021-12-02,111.0
2021-12-03,194.0
2021-12-04,3.0
2021-12-05,48.5
2021-12-06,94.0
2021-12-07,95.0
2021-12-08,135.0
2021-12-09,14.0
2021-12-10,4.0
2021-12-11,215.0
2021-12-12,109.0
2021-12-13,3.0
2021-12-14,4.0
2021-12-15,13.0
2021-12-16,18.0
2021-12-17,181.0
2021-12-18,4.0
2021-12-19,55.5
2021-12-20,107.0
2021-12-21,160.0
2021-12-22,5.0
2021-12-23,107.0
2021-12-24,32.0
2021-12-25,46.6
2021-12-26,61.3
2021-12-27,76.0
2021-12-28,155.0
2021-12-29,133.0
2021-12-30,216.0
2021-12-31,150.0
2022-01-01,160.0
2022-01-02,170.0
2022-01-03,180.0
2022-01-04,153.0
2022-01-05,59.0
2022-01-06,122.0
2022-01-07,122.0
2022-01-08,135.3
2022-01-09,148.6
2022-01-10,162.0
2022-01-11,161.0
2022-01-12,128.0
2022-01-13,19.0
2022-01-14,38.0
2022-01-15,96.0
2022-01-16,51.0
2022-01-17,6.0
2022-01-18,152.0
2022-01-19,13.0
2022-01-20,19.0
2022-01-21,107.0
2022-01-22,91.0
2022-01-23,81.5
2022-01-24,72.0
2022-01-25,126.0
2022-01-26,147.0
2022-01-27,164.0
2022-01-28,62.0
2022-01-29,8.0
2022-01-30,6.5
2022-01-31,5.0
2022-02-01,119.0
2022-02-02,26.0
2022-02-03,74.0
2022-02-04,121.0
2022-02-05,76.0
2022-02-06,114.0
2022-02-07,152.0
2022-02-08,92.0
2022-02-09,87.0
2022-02-10,11.0
2022-02-11,127.0
2022-02-12,9.0
2022-02-13,6.5
2022-02-14,4.0
2022-02-15,9.0
2022-02-16,25.0
2022-02-17,43.0
2022-02-18,30.0
2022-02-19,43.0
2022-02-20,118.0
2022-02-21,193.0
2022-02-22,227.0
2022-02-23,137.0
2022-02-24,7.0
2022-02-25,53.0
2022-02-26,25.0
2022-02-27,18.0
2022-02-28,11.0
2022-03-01,27.0
2022-03-02,43.0
2022-03-03,15.0
2022-03-04,116.0
2022-03-05,17.0
2022-03-06,53.5
2022-03-07,90.0
2022-03-08,141.0
2022-03-09,186.0
2022-03-10,166.0
2022-03-11,14.0
2022-03-12,89.0
2022-03-13,132.5
2022-03-14,176.0
2022-03-15,191.0
2022-03-16,167.0
2022-03-17,46.0
2022-03-18,9.0
2022-03-19,118.0
2022-03-20,63.5
2022-03-21,9.0
2022-03-22,171.0
2022-03-23,99.0
2022-03-24,153.0
2022-03-25,65.0
2022-03-26,20.0
2022-03-27,13.5
2022-03-28,7.0
2022-03-29,114.0
2022-03-30,41.0
2022-03-31,90.0
2022-04-01,72.0
2022-04-02,108.0
2022-04-03,114.0
2022-04-04,120.0
2022-04-05,167.0
2022-04-06,10.0
2022-04-07,160.0
2022-04-08,159.0
2022-04-09,167.0
2022-04-10,86.0
2022-04-11,5.0
